name,lat,lon,population,state
Jefferson,33.5543,-86.8964,672550,AL
Mobile,30.7872,-88.2058,414620,AL
Madison,34.7631,-86.5502,382149,AL
Montgomery,32.2203,-86.2076,229072,AL
Baldwin,30.7276,-87.7226,227131,AL
Tuscaloosa,33.2896,-87.5251,223945,AL
Shelby,33.2643,-86.6607,220780,AL
Lee,32.6011,-85.3555,172223,AL
Morgan,34.4535,-86.8529,122608,AL
Calhoun,33.7714,-85.826,116425,AL
Houston,31.1532,-85.3025,106355,AL
Etowah,34.0453,-86.0348,103468,AL
Limestone,34.8101,-86.9814,101217,AL
Marshall,34.367,-86.3066,97179,AL
Lauderdale,34.9014,-87.654,93342,AL
St. Clair,33.7157,-86.3146,90412,AL
Elmore,32.5966,-86.1492,87146,AL
Cullman,34.1319,-86.8676,87129,AL
Talladega,33.3801,-86.1659,81850,AL
DeKalb,34.4598,-85.8041,71554,AL
Walker,33.8033,-87.2973,65194,AL
Blount,33.9809,-86.5674,58884,AL
Russell,32.2884,-85.1849,58695,AL
Autauga,32.5349,-86.6427,58239,AL
Colbert,34.7005,-87.8049,56789,AL
Coffee,31.4027,-85.9882,53043,AL
Jackson,34.7795,-85.9994,52548,AL
Dale,31.4318,-85.611,49443,AL
Chilton,32.8479,-86.7188,44857,AL
Tallapoosa,32.8624,-85.7975,41284,AL
Dallas,32.326,-87.1065,39162,AL
Covington,31.2485,-86.4513,37490,AL
Escambia,31.1261,-87.1616,36879,AL
Chambers,32.9143,-85.392,34834,AL
Pike,31.8027,-85.9409,33176,AL
Lawrence,34.5217,-87.311,33089,AL
Franklin,34.4417,-87.8437,32034,AL
Marion,34.1366,-87.8871,29392,AL
Geneva,31.095,-85.8391,26604,AL
Barbour,31.8696,-85.3932,25259,AL
Cherokee,34.1759,-85.6038,24975,AL
Winston,34.1492,-87.3737,23650,AL
Clarke,31.6767,-87.8308,23346,AL
Bibb,32.9986,-87.1265,22412,AL
Randolph,33.2938,-85.4591,21984,AL
Monroe,31.5709,-87.3654,20115,AL
Macon,32.3859,-85.6926,19490,AL
Marengo,32.2477,-87.7895,19397,AL
Pickens,33.2808,-88.0887,19240,AL
Butler,31.7524,-86.6803,19181,AL
Henry,31.5147,-85.2414,17165,AL
Fayette,33.7212,-87.7388,16365,AL
Washington,31.4076,-88.2079,15574,AL
